p,d,q,n_engines_fit,aic_mean,bic_mean
0,1,0,80,-407.4967491745945,-377.8655114807439
0,1,1,80,-512.6010949961693,-479.7290691326243
0,1,2,80,-509.4318835627966,-473.329690741995
0,1,3,80,-506.190858987872,-466.86920791119485
1,1,0,80,-463.4019060960958,-430.4783086584841
1,1,1,80,-512.2276834107665,-476.068454960867
1,1,2,80,-509.00713864274366,-469.6229282927783
1,1,3,80,-505.5116823153352,-462.9132269822685
2,1,0,80,-483.5177095345336,-447.35848108463415
2,1,1,80,-510.8029831937074,-471.3565521574534
2,1,2,80,-507.7224798958203,-465.0562520166912
2,1,3,80,-505.8850937374717,-460.00983414801533
3,1,0,80,-489.60019978136586,-450.21598943140054
3,1,1,80,-507.21846012585354,-464.55223224672443
3,1,2,80,-505.75217567108905,-459.80393026279614
3,1,3,80,-504.1663480010885,-455.0142841552424
