p,d,q,n_params,rmse_scaled,rmse_psia,mae_psia,r2,n,n_failed,elapsed_sec
0,0,0,0,0.07763924983097037,0.1304339397160302,0.10444545381523007,0.7741857756082829,3464,0,472.6035051345825
0,0,1,1,0.07860393494739464,0.13205461071162297,0.10581728256173065,0.7685393280979039,3464,0,573.2108585834503
0,0,2,2,0.08010956583947514,0.1345840706103182,0.10762111067526221,0.7595873085392559,3464,0,705.9004714488983
0,1,0,0,0.0921299826766498,0.15477837089677166,0.12411868041506355,0.6820267298139313,3464,0,410.9751150608063
0,1,1,1,0.07097710874749552,0.11924154269579246,0.09515609936602677,0.8112768211646214,3464,0,619.7226524353027
0,1,2,2,0.07246672475196561,0.12174409758330221,0.09708775575748604,0.803272125087729,3464,0,700.8688766956329
0,2,0,0,0.15846587715493388,0.26622267362028884,0.21331486601888427,0.05928048763392324,3464,0,358.38877296447754
0,2,1,1,0.09256307203095214,0.15550596101199957,0.12465059337915531,0.6790302130807112,3464,0,570.691388130188
0,2,2,2,0.0708954111219231,0.11910429068483079,0.0945799260388437,0.8117110276955921,3464,0,922.9510731697083
1,0,0,1,0.07827067335585931,0.13149473123784364,0.10538873479820729,0.7704978415229018,3464,0,521.7588620185852
1,0,1,2,0.07776035269530793,0.1306373925281173,0.10475426995882905,0.7734807693807331,3464,0,823.4325804710388
1,0,2,3,0.0789547207842245,0.13264393091749713,0.10599273933406514,0.7664688389843376,3464,0,881.1709599494934
1,1,0,1,0.08142806400840591,0.1367991475341219,0.109193251889477,0.7516084296718566,3464,0,354.4875650405884
1,1,1,2,0.07170220420078788,0.12045970305732362,0.096192271263195,0.8074011687057444,3464,0,684.2342290878296
1,1,2,3,0.07308439015579067,0.1227817754617283,0.09763912264749991,0.799904238584407,3464,0,863.0102200508118
1,2,0,1,0.1211698786417238,0.20356539611809593,0.16284531329082402,0.44998063514808073,3464,0,374.82166719436646
1,2,1,2,0.08198620857317865,0.1377368304029401,0.10991252348693531,0.7481915843473105,3464,0,686.0618183612823
1,2,2,3,0.0736816881363494,0.12378523606906697,0.09754327283446357,0.7966202217819913,3464,0,1006.9066479206085
2,0,0,2,0.07916626332824767,0.13299932239145607,0.10664267050303934,0.7652157674454835,3464,0,638.0586032867432
2,0,1,3,2.0549527385008792,3.4523206006814764,0.32888036309333457,-157.19483888407885,3464,0,894.9676613807678
2,0,2,4,0.08011637391070398,0.13459550816998264,0.10744317572531684,0.7595464440991687,3464,0,931.7687683105469
2,1,0,2,0.07796613915625211,0.13098311378250352,0.1039665235493746,0.7722802534352082,3464,0,459.72635555267334
2,1,1,3,0.6132319456616225,1.0302296687115258,0.11849961607161388,-13.087637766138489,3464,0,807.0963954925537
2,1,2,4,0.07489739270383311,0.1258276197424396,0.09950739246710007,0.7898535618634936,3464,0,920.8394982814789
2,2,0,2,0.10748992711335481,0.18058307755043604,0.14275506885542094,0.5671632063978386,3464,0,473.3013610839844
2,2,1,3,0.07948127483080918,0.1335285417157594,0.10543900506252968,0.7633435840727656,3464,0,794.9754967689514
2,2,2,4,0.07767081641792463,0.13048697158211336,0.10203846143847897,0.774002115064039,3464,0,1047.671201467514
