p,d,q,n_engines_fit,aic_mean,bic_mean
0,1,0,80,-412.8665560537769,-409.56906674205703
0,1,1,80,-518.8379168896521,-512.2429382662124
0,1,2,80,-518.4781423290373,-508.5856743938777
0,1,3,80,-517.6972225936258,-504.5072653467463
1,1,0,80,-470.77078507372937,-464.17580645028954
1,1,1,80,-518.3816096151464,-508.48914167998663
1,1,2,80,-519.3355405257853,-506.14558327890563
1,1,3,80,-518.2375123937964,-501.7500658351968
2,1,0,80,-493.0248589964511,-483.1323910612913
2,1,1,80,-517.4592167168005,-504.2692594699209
2,1,2,80,-517.6844590211455,-501.1970124625459
2,1,3,80,-519.0434826730964,-499.258546802777
3,1,0,80,-501.74870862430197,-488.5587513774224
3,1,1,80,-516.2788275440333,-499.7913809854339
3,1,2,80,-515.9297116137807,-496.1447757434613
3,1,3,80,-516.5308087769359,-493.4483835948966
