p,d,q,n_params,rmse_scaled,rmse_psia,mae_psia,r2,n,n_failed,elapsed_sec
0,1,0,0,0.08764506245298774,0.14724370492101937,0.11807682048546314,0.7117257469163187,3864,0,72.45347142219543
0,1,1,1,0.0680117500858284,0.11425974014419168,0.09146578786176814,0.8264123409215194,3864,0,391.130957365036
0,1,2,2,0.06890019983004245,0.11575233571447129,0.09265808635718717,0.8218475050371284,3864,0,667.8061790466309
0,1,3,3,0.07005166313028519,0.1176867940588791,0.09392135681328648,0.8158431630489349,3864,0,962.8093490600586
1,1,0,1,0.07709842875751445,0.12952536031262427,0.10349387888568488,0.7769295719730268,3864,0,202.1606469154358
1,1,1,2,0.06856830762155064,0.11519475680420506,0.0922216399427653,0.8235596921357767,3864,0,612.9851830005646
1,1,2,3,0.06911148388048571,0.11610729291921598,0.09267549758158007,0.8207532123068879,3864,0,1085.320600271225
1,1,3,4,0.06963829265592288,0.11699233166195042,0.09356373037156103,0.8180101464218164,3864,0,1754.7215116024017
2,1,0,2,0.07377454110960108,0.12394122906412978,0.09875405047342424,0.7957490997057766,3864,0,463.4303152561188
2,1,1,3,0.06961317510979835,0.11695013418446121,0.09342737220257537,0.8181414050726151,3864,0,389.56928849220276
2,1,2,4,0.06994919360052339,0.11751464524887927,0.09388368220873655,0.8163815275090958,3864,0,706.7883336544037
2,1,3,5,0.0707270013916026,0.11882136233789234,0.09424384860701768,0.8122752920598805,3864,0,2814.1739814281464
3,1,0,3,0.0719098149859655,0.12080848917642203,0.09633450521513409,0.8059439046227947,3864,0,747.2778604030609
3,1,1,4,0.06969012812612731,0.11707941525189386,0.09371261368094891,0.8177391162109752,3864,0,1568.0777628421783
3,1,2,5,0.07016984576434655,0.11788534088410219,0.09429132527078557,0.8152212649240053,3864,0,2061.5176119804382
3,1,3,6,0.0713289893001309,0.11983270202421989,0.09511674575110031,0.809066081095815,3864,0,1539.9839050769806
