p,d,q,n_params,rmse_scaled,rmse_psia,mae_psia,r2,n,n_failed,elapsed_sec
0,0,0,0,0.14740281539342281,0.24763672986095028,0.1837858266502013,0.1846154030295477,3864,0,86.76227307319641
0,0,1,1,0.11501307027657255,0.19322195806464185,0.14964052255773766,0.5035844923100627,3864,0,188.89696407318115
0,0,2,2,0.10260162196081565,0.17237072489417027,0.13563588669810042,0.6049433301528613,3864,0,352.70923948287964
0,1,0,0,0.08764506245298774,0.14724370492101937,0.11807682048546314,0.7117257469163187,3864,0,37.02497673034668
0,1,1,1,0.0680117500858284,0.11425974014419168,0.09146578786176814,0.8264123409215194,3864,0,169.81169867515564
0,1,2,2,0.06890019983004245,0.11575233571447129,0.09265808635718717,0.8218475050371284,3864,0,631.7209854125977
0,2,0,0,0.15130425575007214,0.25419114966012113,0.20375300038425073,0.1408811793850766,3864,0,52.76613187789917
0,2,1,1,0.08830893647107077,0.14835901327139886,0.11901052329975323,0.707342098050333,3864,0,679.4615926742554
0,2,2,2,0.06823618172836864,0.11463678530365928,0.09135228758318828,0.8252648085322114,3864,0,780.0935235023499
1,0,0,1,0.0866761319028485,0.14561590159678545,0.11636631828162095,0.7180643533632663,3864,0,113.17252326011658
1,0,1,2,0.07084777178704459,0.11902425660223488,0.095300981580943,0.8116336433746292,3864,0,378.9145917892456
1,0,2,3,0.0717891319819305,0.12060574172964322,0.09605285474884027,0.8065947092672173,3864,0,843.058390378952
1,1,0,1,0.07709842875751445,0.12952536031262427,0.10349387888568488,0.7769295719730268,3864,0,85.89121150970459
1,1,1,2,0.06856830762155064,0.11519475680420506,0.0922216399427653,0.8235596921357767,3864,0,223.39505338668823
1,1,2,3,0.06911148388048571,0.11610729291921598,0.09267549758158007,0.8207532123068879,3864,0,502.59050822257996
1,2,0,1,0.11423944780061421,0.19192227230503184,0.15446843584427947,0.5102401984553254,3864,0,69.97621893882751
1,2,1,2,0.0778453260948872,0.13078014783941047,0.1044212639871721,0.7725866109328313,3864,0,393.903103351593
1,2,2,3,0.07872687789791834,0.1322611548685028,0.09540006849810592,0.7674068054749481,3864,0,627.0767879486084
2,0,0,2,0.07875255410959568,0.1323042909041207,0.10579908699714508,0.7672550634997097,3864,0,195.50737309455872
2,0,1,3,0.0722464976315585,0.12137411602101827,0.09691868111676158,0.804122504582032,3864,0,533.1372668743134
2,0,2,4,0.07416645895714286,0.12459965104799997,0.0984635317625192,0.7935732217247681,3864,0,1025.403559923172
2,1,0,2,0.07377454110960108,0.12394122906412978,0.09875405047342424,0.7957490997057766,3864,0,120.52478384971619
2,1,1,3,0.06961317510979835,0.11695013418446121,0.09342737220257537,0.8181414050726151,3864,0,322.3427379131317
2,1,2,4,0.06994919360052339,0.11751464524887927,0.09388368220873655,0.8163815275090958,3864,0,758.8907179832458
2,2,0,2,0.1006777767968291,0.16913866501867286,0.13439030130125307,0.6196195574550486,3864,0,127.50972723960876
2,2,1,3,0.0750548469699269,0.12609214290947718,0.10022000419017708,0.788598320387112,3864,0,505.30880403518677
2,2,2,4,0.08285153539186214,0.13919057945832838,0.10008240741020599,0.7423963168773184,3864,0,976.3604712486267
